"method","band","pre_RMSPE","post_RMSPE","ratio","pre_MAE","pre_R2","post_estimate"
"SC","Treated_Core",0.132529558400122,26.75645164196,201.890445912294,0.0970656405792898,0.803488040656617,24.2271749299314
"SC","Treated_Band_5km",0.787050096551936,10.4275528935008,13.2489061867648,0.662220548884704,0.735498517370309,-9.01056670467858
"SC","Treated_Band_10km",0.298879621085016,0.355923860927276,1.19086025214825,0.228969019564763,0.724864730838482,0.00122502193937866
"SC","Treated_Band_15km",0.43092308291671,1.55094843868589,3.59913056452736,0.341153549145283,0.935550345057134,-1.33522440928597
"SC","Treated_Band_20km",0.0401153560612288,0.402145308595977,10.0247224026175,0.0337964018015771,0.970021723405506,-0.384779334601519
"SR","Treated_Core",0.192584189454493,26.2809747351175,136.46486146947,0.163320229890935,0.585041424365363,23.7342848734927
"SR","Treated_Band_5km",0.987927674318776,8.13792479504233,8.23736899632235,0.895662079306569,0.583251869545088,-6.90853881368884
"SR","Treated_Band_10km",0.441692346415843,1.47629337083506,3.34235669423434,0.361383653290183,0.399112173800109,-1.36941362869856
"SR","Treated_Band_15km",0.911525107569958,1.59979619016076,1.75507638448453,0.768652331827744,0.711624506125288,1.50227441386512
"SR","Treated_Band_20km",0.115779823063284,0.43637554802432,3.76901204785743,0.0846697540282169,0.750281267034167,-0.430649591341295
"OLS","Treated_Core",2.51315769815221e-15,32.4453716322963,12910201240515716,2.03634852036227e-15,1,27.9548809098143
"OLS","Treated_Band_5km",1.63475451269041e-14,59.6591934096737,3649428274798826,1.07448772102003e-14,1,-46.2188406538352
"OLS","Treated_Band_10km",5.44127081223409e-15,3.0364170028929,558034530475096,4.6782239540577e-15,1,2.18298807571956
"OLS","Treated_Band_15km",1.05947131850097e-14,40.2425699460144,3798363319825670,7.86838042637905e-15,1,-28.0228855607518
"OLS","Treated_Band_20km",2.60631738873127e-15,2.37644165361112,911800559627138,2.08817338420708e-15,1,-1.75430609813544
"BVR","Treated_Core",0.0782328482253914,26.5367989708585,339.202771889438,0.0562174689684627,0.931523466330791,24.0214685618409
"BVR","Treated_Band_5km",0.374859050450977,8.52869443306647,22.7517367469345,0.318301355253848,0.939998879716634,-7.59741791896796
"BVR","Treated_Band_10km",0.0738457605554872,1.70719271605998,23.1183578206525,0.0644518855951298,0.983204041492715,-1.50328506932722
"BVR","Treated_Band_15km",0.264809762966218,0.777508223144081,2.93610105018397,0.209400215960388,0.975661765837373,0.41177136347414
"BVR","Treated_Band_20km",0.0284536153817793,0.275775411514015,9.69210442377077,0.0237226754996049,0.984917953583571,-0.257001775702506
"BSC","Treated_Core",0.173290250740717,26.4028818277638,152.362188379938,0.139755558568874,0.664021300765205,23.8672550007887
"BSC","Treated_Band_5km",1.38070761526849,7.7435349211997,5.60838140933546,1.32162458960492,0.185995514382361,-6.16549565929994
"BSC","Treated_Band_10km",0.510118351272484,1.17329957470219,2.30005364789446,0.35652971333602,0.198514716802449,-1.03838779998288
"BSC","Treated_Band_15km",1.23340512436383,1.61040880388876,1.30566086687809,1.0172916483612,0.472001635908222,1.59669805367351
"BSC","Treated_Band_20km",0.0812874977028239,0.376524781259176,4.63201343256622,0.062525183095029,0.876907138094664,-0.36808139266464
"SMAC","Treated_Core",0.0918731352064157,26.5986281941115,289.514754605371,0.0673238157023764,0.905563353134481,24.0789252199048
"SMAC","Treated_Band_5km",0.456961117420758,8.50729905730886,18.6171180281747,0.410568408081444,0.910837578800083,-7.45244030217562
"SMAC","Treated_Band_10km",0.0890605426397976,1.38613085608516,15.5639165785383,0.0795124690535239,0.975569951372184,-1.20519335640736
"SMAC","Treated_Band_15km",0.281816266856779,0.491985866332252,1.74576816242578,0.226561975583854,0.9724353047521,0.0705486496685526
"SMAC","Treated_Band_20km",0.0326136539905113,0.354590150935338,10.8724447447226,0.0273474687491525,0.98018544705403,-0.330201870308814
