"stat","BSC","BVR","OLS","SC","SMAC","SR"
"pre_RMSPE",0.67734709162297,0.16127440407664,4.18144002618723e-15,0.33800784198775,0.193156425795129,0.526781281771218
"pre_R2",0.479124496986041,0.961532296821375,1,0.833366692405563,0.945474979218824,0.611376477147843
"post_estimate",8.83242333661875,7.96967890883545,0.697252238230021,7.6122365375212,8.23552648538963,8.39385868059163
"post_CI_width",3.54766388396933,13.7068564116227,NA,NA,6.69582227688728,NA
"post_RMSPE",7.47030063191592,7.68532627038468,11.1201264405512,7.89689743288686,7.50927260723211,7.58620252363726
"ratio",33.1093721970096,74.8384712910251,3196740102138390,45.9885189383608,63.9013992934221,30.7393551437227
"pre_MAE",0.579795393618912,0.131791672134081,3.29328578296817e-15,0.272821946328868,0.164429898183214,0.451625044206279
"pre_ci_width",2.97605261704973,2.68228717178394,NA,NA,1.52264960813206,NA
"pre_coverage",0.9875,1,NA,NA,0.9875,NA
