"unit","type","pre_RMSPE","post_RMSPE","ratio","p_value"
"Control_47230_청통면","control",3.04979643263915e-06,0.283600489821545,92989.9736213315,NA
"Control_47280_마성면","control",2.66184823014688e-06,3.0907111157225e-05,11.6111470245317,NA
"Control_47830_성산면","control",2.41686837966422e-09,1.7119702678078e-08,7.08342366598236,NA
"Control_47130_강동면","control",5.08431983656713e-09,2.78613076154986e-08,5.47984951991341,NA
"Control_47820_매전면","control",0.351264583773456,1.49630219591486,4.2597582137113,NA
"Control_47170_풍천면","control",4.18386702900616e-09,1.08507629268578e-08,2.59347700384142,NA
"Control_47770_병곡면","control",6.7596207456751e-09,1.63766301315259e-08,2.42271434266544,NA
"Control_47920_봉성면","control",0.44385982686244,0.390809284895463,0.880479063982921,NA
"Treated_Core","treated",0.474963782404244,110.573182712443,232.803398509097,0.222222222222222
"Treated_Band_15km","treated",0.616477205074414,8.62514125794776,13.9910140828429,0.222222222222222
"Treated_Band_20km","treated",0.438348704471345,4.27519025262027,9.75294373865258,0.333333333333333
"Treated_Band_10km","treated",0.19428860882265,1.87518773667964,9.65155779354697,0.333333333333333
"Treated_Band_5km","treated",0.649050296270962,2.28301619843747,3.51747193022521,0.666666666666667
