"method","band","pre_RMSPE","post_RMSPE","ratio","pre_MAE","pre_R2","post_estimate"
"SC","Treated_Core",0.132535807541097,26.7572382176028,201.886861475574,0.0970542361273699,0.802663264499466,24.2279603545929
"SC","Treated_Band_5km",0.786840726761019,10.4211529439656,13.2442978477533,0.662158489220079,0.735880112914536,-9.00348727955053
"SC","Treated_Band_10km",0.299494904091568,0.354065382079234,1.18220836896438,0.229736687776302,0.72284603873079,0.0103755533248513
"SC","Treated_Band_15km",0.431048690866284,1.54945091709301,3.59460763928794,0.341360196790116,0.935540898015565,-1.33352297263039
"SC","Treated_Band_20km",0.0401190806787796,0.402579703693705,10.0346193602249,0.0338001217304733,0.96990314786746,-0.385200961910546
"SR","Treated_Core",0.192622964801867,26.2727829329719,136.394863198146,0.163650014008489,0.583171305126641,23.7252904021599
"SR","Treated_Band_5km",0.985134544133841,8.16638249072661,8.28961134228293,0.892888703507454,0.585982653732624,-6.93757304097665
"SR","Treated_Band_10km",0.431040453360714,1.49757022957446,3.47431480710983,0.35066441830598,0.425912253409159,-1.3876626752028
"SR","Treated_Band_15km",0.909149897791545,1.54976686427057,1.70463294120713,0.76639389137341,0.713250560003518,1.45394006466163
"SR","Treated_Band_20km",0.115958548768124,0.444510100642753,3.83335342986756,0.0845281938360615,0.748565613467272,-0.43872916472151
"OLS","Treated_Core",2.32290890068809e-15,24.0078757363615,10335263569419308,1.90667794053301e-15,1,21.5526450330553
"OLS","Treated_Band_5km",9.08776049626492e-15,24.0426780830072,2645610884319494,6.65613397732301e-15,1,-20.1581405565953
"OLS","Treated_Band_10km",2.59079401235186e-15,1.07197880514396,413764583379920,2.37516169926399e-15,1,0.656151621039799
"OLS","Treated_Band_15km",6.58262613790879e-15,5.93275798470667,901275244927008,5.25740475459946e-15,1,-3.27087741873769
"OLS","Treated_Band_20km",3.23110583722475e-16,0.545341593536636,1687786228646222,2.71050543121376e-16,1,-0.434858927277932
"BVR","Treated_Core",0.0850242470825084,26.6106641617635,312.977357340669,0.0607308715258095,0.918786716071057,24.0866304007651
"BVR","Treated_Band_5km",0.357606245257016,9.2130281929662,25.7630517228375,0.302836913151399,0.945444614277628,-8.14727258309422
"BVR","Treated_Band_10km",0.0751204007326507,1.7176008182123,22.8646386528894,0.0669547599067266,0.982563552450833,-1.50667208198335
"BVR","Treated_Band_15km",0.259594718524424,0.585433683417039,2.25518333633571,0.204404543827097,0.976621141906123,0.165411054406711
"BVR","Treated_Band_20km",0.0290264087865996,0.299904495564306,10.3321254023943,0.0240312722593724,0.984245459401233,-0.278207980456406
"BSC","Treated_Core",0.17415510343057,26.3900306875691,151.531767761775,0.140010410800363,0.659267238261614,23.853294157249
"BSC","Treated_Band_5km",1.38410901993336,7.76661846953377,5.61127653796209,1.32468643886345,0.182725329955775,-6.18844748401148
"BSC","Treated_Band_10km",0.505066087522282,1.20390332379369,2.38365503750155,0.350749087762902,0.211796001704554,-1.07016320663633
"BSC","Treated_Band_15km",1.24241291826229,1.60820169801623,1.29441804280782,1.02153273382745,0.464495028867165,1.59497716501214
"BSC","Treated_Band_20km",0.0809923289663464,0.382748980666857,4.7257436050011,0.0619982968403868,0.877338886141097,-0.374737173106603
"SMAC","Treated_Core",0.0972853071214916,26.5841991708241,273.26016597373,0.070229293812637,0.893674853238657,24.0664585901461
"SMAC","Treated_Band_5km",0.454510331583287,8.67472646601866,19.0858730005108,0.408153075608533,0.911871787653362,-7.59540561936681
"SMAC","Treated_Band_10km",0.0945203768739707,1.48093653985637,15.667907691809,0.0843219862990585,0.972394659721604,-1.29479515075401
"SMAC","Treated_Band_15km",0.284840204484096,0.465079870923554,1.63277467015553,0.230875740033548,0.971852866841101,-0.0448364623919099
"SMAC","Treated_Band_20km",0.0346259089128006,0.341420988537881,9.86027513090534,0.0285693951622953,0.977580728639396,-0.31983710060272
