"method","mean_sd_across_controls","max_sd","median_range"
"SVR",0.153686486578022,0.314813505947275,0.333779167322758
"BVR",0.232115389707468,0.360902607886903,0.566656191696191
"OLS",1.70862316113246,6.10857371530979,2.92752659766518
