"unit","type","pre_RMSPE","post_RMSPE","ratio","p_value"
"Control_47170_풍천면","control",0.153561074763905,1.88913746934099,12.3021896808516,NA
"Control_47230_청통면","control",0.101749114856529,0.621342586972583,6.10661417397788,NA
"Control_47130_강동면","control",0.231732982885047,1.33380848013136,5.75579903872814,NA
"Control_47920_봉성면","control",0.167873465987138,0.754781956096767,4.4961361324046,NA
"Control_47830_성산면","control",0.402396885843759,1.55085149796938,3.85403454283077,NA
"Control_47770_병곡면","control",0.312905677708117,1.00988680394946,3.2274480007726,NA
"Control_47820_매전면","control",0.167166234827946,0.349830615518736,2.09271098244688,NA
"Control_47280_마성면","control",0.250592048786004,0.498730384302513,1.99020833549436,NA
"Treated_Core","treated",0.287813310439546,55.2420812930538,191.937201266643,0.111111111111111
"Treated_Band_20km","treated",0.185253516355808,7.25931975238821,39.1858675354134,0.111111111111111
"Treated_Band_5km","treated",0.192702920181322,2.78978090648438,14.4771075802036,0.111111111111111
"Treated_Band_15km","treated",0.210801366400935,1.56020235292685,7.40129146012938,0.222222222222222
"Treated_Band_10km","treated",0.562502947521634,1.0412884202806,1.85116971363169,1
