"band","post_len","mean","median","lower","upper"
"Treated_Core",12,23.826990564358,23.8997094660782,19.6636304226584,27.8146190186685
"Treated_Band_5km",12,-7.33899473305082,-7.10181395402159,-11.8218163271204,-3.75692631385214
"Treated_Band_10km",12,-2.08729856408161,-1.98874833253322,-6.23251571777288,1.66062860274333
"Treated_Band_15km",12,1.3986666279657,1.54146440495668,-2.71455836495954,4.97892240695101
"Treated_Band_20km",12,0.279396745634524,0.184137291133381,-3.34414187020675,4.23960756869558
